NOM_INTER|SIGNALI|LONGITUDE|LATITUDE
Saint-Olivier, Rue    /   Ritournelle, Rue de la    --   L'Ancienne-Lorette|Arrêts obligatoires sur toutes les approches|-71.354734|46.813607
Saint-Olivier, Rue    /   Pélican, Rue du    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue est-ouest|-71.353383|46.811797
4e Est, Avenue    /   66e Est, Rue    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.255190|46.856313
Sainte-Foy, Chemin    /   Cartier, Avenue    --   Québec|Signaux lum. + Phase de piéton + Signal sonore + Phase de virage à ga.|-71.228618|46.805879
Saint-Paul, Rue    /   Ferme, Rue de la    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue sud-nord|-71.349399|46.799058
Saint-Cyrille, Rue    /   Saint-Luc, Rue    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue est-ouest|-71.360047|46.797900
Saint-Benoît, Rue    /   Bosquet, Rue du    --   L'Ancienne-Lorette|Arrêts obligatoires sur toutes les approches|-71.365186|46.797017
Saint-Jacques, Rue    /   Sainte-Thérèse, Rue    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue sud-nord|-71.366041|46.801569
Saint-Jacques, Rue    /   Érables, Rue des    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue sud-nord|-71.359857|46.801966
Ardouin, Rue ( Côté Sud )   /   Hydro-Québec (Ardouin), Stationnement    /   Miloit, Rue    --   Québec|Arrêts obligatoires sur toutes les approches|-71.193002|46.882321
Turmel, Rue    /   Père-Chaumonot, Rue    --   L'Ancienne-Lorette|Arrêts obligatoires sur toutes les approches|-71.363172|46.798829
Turmel, Rue    /   Saint-Luc, Rue    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue est-ouest|-71.360968|46.797304
Cul-de-Sac Ouest, Bretelle    /   Rte. 367, de Fossambault, S. 295, Bretelle    --   Saint-Augustin-de-Desmaures|Non déterminé|-71.477576|46.754776
Pruches, Rue des    /   Cormiers, Rue des    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.271510|46.880858
Forain, Rue    /      --   Québec|Aucun contrôle|-71.201167|46.920309
Cloutier, Boulevard    /   Chomedey, Rue    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.280229|46.861001
Saint-Clément, Rue    /   Fenière, Rue de la    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue est-ouest|-71.358662|46.792482
Sainte-Madeleine, Rue    /   Laval, Rue    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue sud-nord|-71.372510|46.809519
Saint-Gédéon, Rue    /   Aubry, Rue    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue sud-nord|-71.374444|46.809884
Turmel, Rue    /   Genévriers, Rue des    /   Pins Ouest, Rue des    --   L'Ancienne-Lorette|Arrêts obligatoires sur toutes les approches|-71.371603|46.805230
Turmel, Rue    /   Ballades, Rue des    /   Cassandres, Rue des    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue est-ouest|-71.370494|46.803992
Turmel, Rue    /   Saint-Georges Ouest, Rue    --   L'Ancienne-Lorette|Arrêts obligatoires sur toutes les approches|-71.369143|46.802898
Turmel, Rue    /   Canso, Rue du    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue est-ouest|-71.367891|46.802056
Saint-Exupéry, Rue    /   Saint-Gédéon, Rue    --   L'Ancienne-Lorette|Arrêts obligatoires sur toutes les approches|-71.378163|46.807333
Turmel, Rue    /   Saint-Gédéon, Rue    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue est-ouest|-71.375950|46.808842
Saint-Paul, Rue    /   Saint-Clément, Rue    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue sud-nord|-71.357455|46.791758
Hermine, Rue    /   Signaï, Rue    --   Québec|Arrêts obligatoires sur toutes les approches|-71.232429|46.810416
Charest Ouest, Boulevard ( Côté Sud )   /   Carrefour Saint-Sacrement, Stationnement    --   Québec|Signaux lumineux + phase pour piétons avec décompte numérique + phase de virage à Gauche|-71.256610|46.799248
Kyoto, Rue de    /   Stockholm, Rue de    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.341729|46.848716
Eymard, Rue    /   Frontenac, Rue    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.258457|46.793414
Rodolphe-Forget, Avenue    /   Gomin, Chemin    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.250056|46.787982
Sheppard, Rue    /   Luxembourg, Avenue du    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.247553|46.784993
Saint-Louis, Chemin    /   De Villars, Avenue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.252361|46.777256
Saint-Louis, Chemin    /   Charles, Avenue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.246572|46.781912
Saint-Louis, Chemin    /   Chanoine-Morel, Avenue du    /   Maire-Beaulieu, Avenue du    --   Québec|Signaux lumineux + phase pour piétons avec décompte numérique + phase de virage à Gauche|-71.246024|46.782755
Saint-Louis, Chemin    /   Sarah, Avenue    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.246033|46.784042
Saint-Louis, Chemin    /   Parc-Champoux, Rue du    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.247294|46.787414
Charest Est, Boulevard    /   Octave, Rue    --   Québec|Aucun contrôle|-71.218967|46.815287
Thornhill, Avenue    /   Parc-Thornhill, Rue du    --   Québec|Arrêts obligatoires sur toutes les approches|-71.245086|46.792522
Saint-Pierre, Rue    /   Érables, Rue des    --   L'Ancienne-Lorette|Arrêts obligatoires sur toutes les approches|-71.360161|46.802600
Esméralda, Rue    /   Équille, Rue de l'    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.432525|46.860210
Saint-Michel, Rue    /   Joie, Rue de la    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue est-ouest|-71.355244|46.803313
Charest Ouest, Boulevard ( Côté Nord )   /   Lafayette, Rue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.242903|46.805035
Saint-Jean-Baptiste, Rue    /   Saint-Olivier, Rue    --   L'Ancienne-Lorette|Arrêts obligatoires sur toutes les approches|-71.349251|46.808880
Turmel, Rue    /   Napoléon, Rue    /   Saint-Victor, Rue    --   L'Ancienne-Lorette|Arrêts obligatoires sur toutes les approches|-71.358746|46.795770
Saint-Paul, Rue    /   Bellevue, Rue    /   Colline, Rue de la    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue sud-nord|-71.356021|46.793027
Saint-Paul, Rue    /   Colline, Rue de la    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue sud-nord|-71.354705|46.794199
Saint-Paul, Rue    /   Braves, Rue des    --   L'Ancienne-Lorette|Arrêts obligatoires sur toutes les approches|-71.352263|46.796900
Père-Lelièvre, Boulevard    /   Beaucage, Rue    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.269234|46.812159
Veuve-Clicquot, Rue du    /   Haut-Médoc, Rue du    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.321170|46.873151
Saint-Julien, Rue de    /   Gagnon, Rue    --   Québec|Arrêts obligatoires sur toutes les approches|-71.322746|46.876932
